____________________________________________________________________
			P o w e r T O P

____________________________________________________________________
 *  *  *   System Information   *  *  *

PowerTOP Version;v2.11-1-g7ef7f79 ran at Wed Dec 11 14:24:25 2024

Kernel Version;Linux version 6.1.21-v8+
System Name;
CPU Information;4
OS Information;Debian GNU/Linux 11 (bullseye)

Target: 1 units/s;System:  1475.4 wakeup/s;CPU:  66.9% usage;GPU: 0 ops/s;GFX: 0 wakeups/s;VFS: 0 ops/s;

____________________________________________________________________
 *  *  *   Top 10 Power Consumers   *  *  *

Usage;Events/s;Category;Description;PW Estimate
  0.1%;1293.6;Interrupt;[51] dwc_otg_sim-fiq;  5.11 W  
 36.6%;  1.3;Process;[PID 87654] python3.9;  576 mW  
  0.9%; 66.9;Timer;tick_sched_timer;  279 mW  
 16.5%; 0.00;Process;[PID 87674] apt-get;  257 mW  
  0.4%; 34.1;Process;[PID 15] [rcu_preempt];  140 mW  
  0.1%; 21.5;Interrupt;[6] IPI; 86.4 mW  
  0.0%;  8.3;kWork;flush_to_ldisc; 33.4 mW  
  0.1%;  7.4;Interrupt;[6] tasklet(softirq); 30.0 mW  
  0.2%;  5.0;Interrupt;[7] sched(softirq); 23.5 mW  
  0.0%;  3.9;Interrupt;[0] HI_SOFTIRQ; 15.5 mW  

____________________________________________________________________
 *  *  *   Processor Idle State Report   *  *  *

Package;0
;
;
;

CPU;0
CPU;1
CPU;2
CPU;3
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;

____________________________________________________________________
 *  *  *   Processor Frequency Report   *  *  *

Package;0
 600 MHz;   0.0% 
 700 MHz;   0.0% 
 800 MHz;   0.0% 
 900 MHz;   0.0% 
1000 MHz;   0.0% 
1100 MHz;   0.0% 
1200 MHz;   0.0% 
1300 MHz;   0.0% 
1400 MHz;   0.0% 
Idle; 100.0% 
;
;
;
;

CPU 0
 600 MHz;   0.0% 
 700 MHz;   0.0% 
 800 MHz;   0.0% 
 900 MHz;   0.0% 
1000 MHz;   0.0% 
1100 MHz;   0.0% 
1200 MHz;   0.0% 
1300 MHz;   0.0% 
1400 MHz;   0.0% 
Idle; 100.0% 
CPU 1
 600 MHz;   0.0% 
 700 MHz;   0.0% 
 800 MHz;   0.0% 
 900 MHz;   0.0% 
1000 MHz;   0.0% 
1100 MHz;   0.0% 
1200 MHz;   0.0% 
1300 MHz;   0.0% 
1400 MHz;   0.0% 
Idle; 100.0% 
CPU 2
 600 MHz;   0.0% 
 700 MHz;   0.0% 
 800 MHz;   0.0% 
 900 MHz;   0.0% 
1000 MHz;   0.0% 
1100 MHz;   0.0% 
1200 MHz;   0.0% 
1300 MHz;   0.0% 
1400 MHz;   0.0% 
Idle; 100.0% 
CPU 3
 600 MHz;   0.0% 
 700 MHz;   0.0% 
 800 MHz;   0.0% 
 900 MHz;   0.0% 
1000 MHz;   0.0% 
1100 MHz;   0.0% 
1200 MHz;   0.0% 
1300 MHz;   0.0% 
1400 MHz;   0.0% 
Idle; 100.0% 
;
;
;
;
;
;
;
;

____________________________________________________________________
 *  *  *   Overview of Software Power Consumers   *  *  *

Usage;Wakeups/s;GPU ops/s;Disk IO/s;GFX Wakeups/s;Category;Description;PW Estimate
  1.2 ms/s;1293.6;;;;Interrupt;[51] dwc_otg_sim-fiq;  5.11 W  
366.3 ms/s;  1.3;;;;Process;[PID 87654] python3.9;  576 mW  
  9.3 ms/s; 66.9;;;;Timer;tick_sched_timer;  279 mW  
164.9 ms/s;;;;;Process;[PID 87674] apt-get;  257 mW  
  3.7 ms/s; 34.1;;;;Process;[PID 15] [rcu_preempt];  140 mW  
  0.9 ms/s; 21.5;;;;Interrupt;[6] IPI; 86.4 mW  
443.5 us/s;  8.3;;;;kWork;flush_to_ldisc; 33.4 mW  
532.6 us/s;  7.4;;;;Interrupt;[6] tasklet(softirq); 30.0 mW  
  2.3 ms/s;  5.0;;;;Interrupt;[7] sched(softirq); 23.5 mW  
168.6 us/s;  3.9;;;;Interrupt;[0] HI_SOFTIRQ; 15.5 mW  
  2.1 ms/s;  2.7;;;;Process;[PID 87666] apt.systemd.dai; 14.0 mW  
135.6 us/s;  2.8;;;;Interrupt;[74] dwc_otg; 11.2 mW  
  2.4 ms/s;  1.8;;;;Process;[PID 87649] sshd: kamil@pts/1 ; 10.8 mW  
 12.8 us/s;  2.7;;;;Interrupt;[5] IPI; 10.7 mW  
117.8 us/s;  2.3;;;;kWork;dbs_work_handler; 9.43 mW  
  4.9 ms/s; 0.27;;;;Process;[PID 87703] apt-config; 8.72 mW  
  4.7 ms/s; 0.27;;;;Process;[PID 87715] apt-config; 8.42 mW  
  4.6 ms/s; 0.27;;;;Process;[PID 87707] apt-config; 8.24 mW  
  7.7 us/s;  2.1;;;;kWork;brcmf_sdio_dataworker; 8.19 mW  
  4.9 ms/s; 0.09;;;;Process;[PID 87691] apt.systemd.dai; 8.00 mW  
  4.9 ms/s; 0.09;;;;Process;[PID 87689] apt.systemd.dai; 7.98 mW  
  4.3 ms/s; 0.27;;;;Process;[PID 87699] apt-config; 7.73 mW  
  4.6 ms/s; 0.09;;;;Process;[PID 87701] apt.systemd.dai; 7.50 mW  
  4.5 ms/s; 0.09;;;;Process;[PID 87705] apt.systemd.dai; 7.40 mW  
  4.5 ms/s; 0.09;;;;Process;[PID 87697] apt.systemd.dai; 7.34 mW  
